epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7455,2.07028,6.36362,2.69983,0.05565,0.54911,0.11992,0.04668,1.64878,3.27652,2.62875,9.163e-05,9.163e-05,9.163e-05
2,35.4059,1.21798,4.90023,1.86351,0.021,0.87946,0.32236,0.1932,1.12966,3.22263,1.82538,0.000191116,0.000191116,0.000191116
3,45.9846,1.15803,4.06484,1.74751,0.01564,0.9375,0.41986,0.18266,1.18046,3.03532,2.05614,0.000290107,0.000290107,0.000290107
4,56.5116,1.12728,3.52112,1.72138,0.0057,0.73661,0.17644,0.10213,1.8447,3.00321,2.56542,0.000388603,0.000388603,0.000388603
5,67.1124,1.05838,3.20874,1.63429,0.72841,0.18955,0.37089,0.19776,1.67537,2.6005,2.80975,0.000486604,0.000486604,0.000486604
6,77.7786,1.06989,3.03844,1.65345,0.66673,0.18555,0.35391,0.17103,1.79717,2.5596,2.94245,0.000584111,0.000584111,0.000584111
7,88.3204,1.07887,2.8078,1.66446,0.56017,0.31793,0.43033,0.19439,1.94662,2.13084,2.98394,0.000681123,0.000681123,0.000681123
8,98.7596,1.0914,2.70977,1.68904,0.34655,0.26249,0.27154,0.1129,1.57427,2.52505,2.72276,0.00077764,0.00077764,0.00077764
9,109.037,1.06155,2.47095,1.65454,0.57304,0.52232,0.50959,0.279,1.54065,1.89281,2.38273,0.000816507,0.000816507,0.000816507
10,119.183,1.10861,2.35585,1.67175,0.2984,0.35268,0.24722,0.09054,1.86892,2.80019,2.88787,0.000814445,0.000814445,0.000814445
11,129.169,1.04245,2.14212,1.62828,0.47663,0.50893,0.47291,0.25184,1.63544,1.95617,2.51344,0.000812383,0.000812383,0.000812383
12,139.218,1.04702,1.95413,1.64836,0.18459,0.3125,0.25725,0.13394,1.46319,2.86932,2.29648,0.000810322,0.000810322,0.000810322
13,149.22,1.05234,1.84674,1.65077,0.41305,0.5,0.39496,0.23423,1.35829,1.79773,2.39674,0.00080826,0.00080826,0.00080826
14,159.221,1.00876,1.6889,1.61697,0.29069,0.30804,0.21122,0.10004,1.74625,2.45382,2.78859,0.000806198,0.000806198,0.000806198
15,169.2,1.00141,1.59849,1.57008,0.17621,0.32589,0.14184,0.06149,1.94184,3.2031,3.13327,0.000804137,0.000804137,0.000804137
16,179.183,0.99319,1.48895,1.58637,0.6478,0.57779,0.56654,0.35462,1.30694,1.52598,2.26761,0.000802075,0.000802075,0.000802075
17,189.2,0.97527,1.41806,1.56711,0.45984,0.58929,0.45074,0.2768,1.40448,1.41102,2.30927,0.000800013,0.000800013,0.000800013
18,199.156,0.96526,1.34769,1.54239,0.34997,0.45536,0.28706,0.1027,1.85432,2.19575,2.88475,0.000797952,0.000797952,0.000797952
19,209.136,0.957,1.25308,1.58201,0.20576,0.2446,0.10585,0.02877,2.67377,2.97329,5.62598,0.00079589,0.00079589,0.00079589
20,219.116,0.95865,1.23819,1.58441,0.57088,0.63393,0.58569,0.32295,1.38557,1.60595,2.32701,0.000793828,0.000793828,0.000793828
21,229.056,0.9957,1.23766,1.55552,0.42168,0.54964,0.42095,0.19853,1.73085,2.12764,2.70409,0.000791767,0.000791767,0.000791767
22,239.005,0.95845,1.15229,1.55701,0.74036,0.625,0.68774,0.4818,1.04962,1.28303,1.83951,0.000789705,0.000789705,0.000789705
23,249.019,0.95062,1.12852,1.52897,0.67034,0.74708,0.72611,0.49626,1.12364,1.05068,2.05726,0.000787643,0.000787643,0.000787643
24,258.994,0.95816,1.10957,1.55758,0.52984,0.48214,0.48241,0.22835,1.65898,1.75399,3.05455,0.000785581,0.000785581,0.000785581
25,268.938,0.91568,1.03267,1.51076,0.48631,0.60714,0.55869,0.32612,1.33919,1.68773,2.13826,0.00078352,0.00078352,0.00078352
26,278.87,0.89879,0.99835,1.49897,0.44865,0.60952,0.5116,0.28102,1.44501,1.44551,2.32269,0.000781458,0.000781458,0.000781458
27,288.801,0.89384,1.00642,1.49642,0.58437,0.71523,0.69822,0.4322,1.21786,1.11995,1.9912,0.000779396,0.000779396,0.000779396
28,298.754,0.93601,0.99591,1.53037,0.70894,0.70982,0.7308,0.4868,1.09653,1.06689,1.91131,0.000777335,0.000777335,0.000777335
29,308.714,0.90833,0.96683,1.49943,0.60737,0.66619,0.68609,0.46259,1.0821,1.43475,1.86589,0.000775273,0.000775273,0.000775273
30,318.665,0.89275,0.93821,1.4904,0.71755,0.64286,0.73136,0.53595,0.95171,0.95264,1.68488,0.000773211,0.000773211,0.000773211
31,328.65,0.90945,0.98562,1.49958,0.33358,0.29113,0.25589,0.07789,2.45907,2.68234,4.17516,0.00077115,0.00077115,0.00077115
32,338.616,0.89671,0.93811,1.49081,0.62027,0.71875,0.68741,0.45866,1.1792,1.2617,1.93934,0.000769088,0.000769088,0.000769088
33,348.586,0.86616,0.91112,1.47202,0.71307,0.76667,0.81938,0.57177,1.05507,0.84466,1.76496,0.000767026,0.000767026,0.000767026
34,358.546,0.90885,0.89762,1.50714,0.66576,0.69247,0.72737,0.44044,1.33389,1.03887,2.20425,0.000764965,0.000764965,0.000764965
35,368.485,0.87758,0.88246,1.4678,0.80181,0.66459,0.77978,0.58413,0.86725,0.8524,1.56857,0.000762903,0.000762903,0.000762903
36,378.515,0.89396,0.88483,1.47393,0.6303,0.71876,0.6622,0.48338,0.95531,1.00633,1.67846,0.000760841,0.000760841,0.000760841
37,388.455,0.85238,0.848,1.42969,0.57224,0.70982,0.69618,0.46932,1.04674,1.26192,1.84315,0.00075878,0.00075878,0.00075878
38,398.41,0.89235,0.84927,1.48218,0.70079,0.68601,0.73755,0.51938,0.98768,1.00721,1.73399,0.000756718,0.000756718,0.000756718
39,408.376,0.91025,0.89336,1.50354,0.65622,0.70536,0.72644,0.51821,0.96805,1.03805,1.69625,0.000754656,0.000754656,0.000754656
40,418.326,0.88652,0.82253,1.4803,0.71053,0.68533,0.69114,0.4102,1.33619,1.10401,2.221,0.000752595,0.000752595,0.000752595
41,428.278,0.8487,0.81576,1.45196,0.71663,0.58112,0.61854,0.40155,1.19479,1.43899,1.98884,0.000750533,0.000750533,0.000750533
42,438.235,0.85071,0.8161,1.45199,0.46296,0.47234,0.39863,0.13677,2.29825,2.18083,3.84283,0.000748471,0.000748471,0.000748471
43,448.301,0.86664,0.81056,1.46836,0.49164,0.58482,0.51549,0.31996,1.26887,1.69036,2.05604,0.00074641,0.00074641,0.00074641
44,458.265,0.87358,0.81874,1.4539,0.65036,0.72768,0.7387,0.53163,0.99317,0.97029,1.76143,0.000744348,0.000744348,0.000744348
45,468.201,0.84319,0.7946,1.43491,0.65933,0.55999,0.58998,0.38585,1.2348,1.26009,1.90025,0.000742286,0.000742286,0.000742286
46,478.135,0.82877,0.77029,1.42166,0.48107,0.58965,0.5546,0.29478,1.62331,1.71163,2.42526,0.000740225,0.000740225,0.000740225
47,488.069,0.8429,0.76451,1.43717,0.58182,0.73661,0.70068,0.40573,1.43649,1.26598,2.33047,0.000738163,0.000738163,0.000738163
48,498.019,0.8691,0.78739,1.44605,0.60122,0.75446,0.7322,0.49495,1.14103,1.01882,1.90561,0.000736101,0.000736101,0.000736101
49,507.963,0.83453,0.7911,1.42175,0.71884,0.70982,0.75902,0.48797,1.08566,0.99843,1.82141,0.00073404,0.00073404,0.00073404
50,517.902,0.8277,0.76057,1.42434,0.68626,0.70502,0.73328,0.42238,1.30197,1.139,2.34081,0.000731978,0.000731978,0.000731978
